"no","group","speaker","original","pron","trans"
"1","1","Léo","Hey, Jaemin! Ça fait longtemps!","에이 자민! 싸 페 롱땅!","야 자민! 오랜만이야!"
"2","1","Jaemin","Salut, Léo. Ça va?","살뤼 레오 싸 바?","안녕 레오. 잘 지내?"
"3","1","Léo","Oui, merci. Qu'est-ce que tu vas faire ce semestre?","위 메르씨 께스끄 뚜 바 페흐 쓰 쎄메스트흐?","응, 고마워. 이번 학기에 뭐 할 거야?"
"4","1","Jaemin","Ce semestre, je vais être très occupé.","쓰 쎄메스트흐 쥬 베 에뜨흐 트헤 오뀌페","이번 학기엔 아주 바쁠 거야."
"5","1","Jaemin","J'ai l'intention de suivre beaucoup de cours...","쥬 엘렝땅시옹 드 쉬브흐 보꾸 드 꾸흐","나는 수업을 많이 들을 계획이야..."
"6","1","Léo","Ah bon? Tu ne vas pas être fatigué?","아 봉? 뚜 느 바 파 에뜨흐 파띠게?","그래? 피곤하지 않겠어?"
"7","1","Jaemin","Ça va aller! En plus, j'envisage de chercher un job étudiant.","싸 바 알레! 앙 플뤼 쟝비쟈쥬 드 쉐르셰 앙 조브 에뛰디앙","괜찮을 거야! 게다가 아르바이트도 구해볼 생각이야."
"8","1","Léo","Quoi? Tes journées ne vont pas être chargées?","꾸아? 떼 쥬흐네 느 봉 파 에뜨흐 샤흐제?","뭐라고? 하루가 너무 빡빡하겠네?"
"9","1","Jaemin","Si, mais je n'ai pas le choix... Je dois valider beaucoup de crédits ce semestre.","씨 메 쥬 네 파 르 슈와... 쥬 두와 발리데 보꾸 드 크헤디 쓰 쎄메스트흐","맞아, 하지만 어쩔 수 없어... 이번 학기에 학점을 많이 따야 해."
"10","1B","Léo","Léa, qu’est-ce que tu vas faire demain ?","레아 께스끄 뚜 바 페흐 드맹?","레아, 내일 뭐 할 거야?"
"11","1B","Léa","Demain ? J’ai beaucoup de choses à faire...","드맹? 쥬 보꾸 드 쇼즈 아 페흐","내일? 할 일이 너무 많아..."
"12","1B","Léo","Ah bon ? Qu’est-ce que tu fais ?","아 봉? 께스끄 뚜 페?","그래? 뭐 하는데?"
"13","1B","Léa","Tu sais bien. D’abord, je travaille de 8 h 30 à 16 h. Ensuite, je dois suivre des cours du soir. Le mardi, je finis tard la journée.","쥬 쎄 비엥. 다보흐 쥬 뜨라바이 드 윗 헤트 트렁뜨 아 세즈 헤흐. 엉쓋 쥬 두와 쉬브흐 데 꾸흐 뒤 수와흐. 르 마흐디 쥬 피니 따흐 라 쥬흐네","잘 알잖아. 먼저, 8시 30분부터 16시까지 일해. 그리고 저녁 수업도 들어야 해. 화요일은 하루가 늦게 끝나."
"14","1B","Léo","Demain, tes cours du soir finissent à quelle heure ?","드맹 떼 꾸흐 뒤 수와흐 피니쎄 아 껠러흐?","내일 저녁 수업은 몇 시에 끝나?"
"15","1B","Léa","Ils finissent vers 20 h 45. Pourquoi ? Quels sont tes plans pour demain ?","일 피니쎄 베흐 방떼르 껄렁껄렁쌍크. 뿌흐꽈? 껠 송 떼 플랑 뿌흐 드맹?","8시 45분쯤 끝나. 왜? 내일 무슨 계획 있어?"
"16","1B","Léo","Jaemin et moi, on a l’intention de boire un verre. Ça te dit de venir ?","자민 에 무아 옹 나 렝땅시옹 드 부아흐 렁 베흐. 싸 뜨 디 드 브느흐?","자민이랑 나랑 한 잔 하려는데, 올래?"
"17","1B","Léa","Pourquoi pas ! On se voit où et à quelle heure ?","뿌흐꽈 빠! 옹 쓰 봐 우 에 아 껠러흐?","좋지! 어디서 몇 시에 볼까?"
"18","1B","Léo","Humm... Ça te dit 21 h 30 devant l’université ?","음... 싸 뜨 디 방떵에흐 뜨렁뜨 드방 르니베흐시떼?","음... 9시 30분에 대학교 앞 어때?"
"19","1B","Léa","Super !","쉬페르!","좋아!"
