no,group,speaker,original,pron,trans,comment
1,6,,"Bonjour/Bonsoir, tout le monde !",[bɔ̃ʒuʁ/bɔ̃swaʁ tut lə mɔ̃d / 봉주르·봉수아르 투트 르몽드],"여러분, 안녕하세요!",
2,6,,Au revoir ! À très bientôt !,[o ʁəvwaʁ a tʁɛ bjɛ̃to / 오 허브와 아 트레 비앙토],안녕히 계세요! 곧 또 만나요!,
3,6,,À tout à l'heure !,[a tut a lœʁ / 아 투타 뢰르],이따 봐요!,
4,6,,À la semaine prochaine !,[a la səmɛn pʁɔʃɛn / 아 라 쓰멘 프로셴],다음 주에 봐요!,
5,6,,Bonne journée/soirée !,[bɔn ʒuʁne/swɛʁe / 본 주르네·스웨레],좋은 하루/저녁 보내세요!,
6,6,,Comment allez-vous ?,[kɔmɑ̃ t‿ale vu / 코멍 딸레부],어떻게 지내세요?,
7,6,,"Très bien, merci ! Et vous ?","[tʁɛ bjɛ̃, mɛʁsi e vu / 트레 비앙, 메흐시 에 부]","아주 잘 지냅니다. 고마워요! 당신은요?",
8,6,,Tout va bien ?,[tu va bjɛ̃ / 투 바 비앙],잘돼 가요?,
9,6,,Ça fait longtemps.,[sa fɛ lɔ̃tɑ̃ / 싸 페 롱탕],오랜만이에요.,
10,6,,Je suis heureux(se) de vous revoir.,[ʒə sɥi œʁø də vu ʁəvwaʁ / 즈 쓔이 으흐외 드 부 허브와],다시 만나 반가워요.,
11,6,,Au revoir.,[o ʁəvwaʁ / 오 허브와],안녕히 가세요.,
12,6,,À bientôt !,[a bjɛ̃to / 아 비앙토],곧 또 만나요!,
13,6,,À la prochaine !,[a la pʁɔʃɛn / 아 라 프로셴],다음에 봐요!,
14,6,,À tout à l'heure !,[a tut a lœʁ / 아 투타 뢰르],이따 봐요!,
15,6,,Je vous remercie pour votre invitation.,[ʒə vu ʁəmɛʁsi puʁ vɔtʁ ɛ̃vitasjɔ̃ / 즈 부 허메흐시 뿌흐 보트흐 앙비타씨용],초대에 감사드립니다.,
16,6,,"Merci, c'est vraiment gentil.","[mɛʁsi, sɛ vʁɛmɑ̃ ʒɑ̃ti / 메흐시, 세 브허망 장티]",정말 고마워요.,
17,6,,Je vous en prie !,[ʒə vu zɑ̃ pʁi / 즈 부 장 프리],천만의 말씀입니다. / 괜찮습니다.,
18,6,,Excusez-moi d'être en retard.,[ɛkskyze mwa detʁ ɑ̃ ʁətaʁ / 엑스뀌즈 무아 데트흐 앙 허타흐],늦어서 죄송합니다.,
19,6,,Désolé(e) de vous déranger.,[dezɔle də vu deʁɑ̃ʒe / 데졸레 드 부 데헝자제],방해해서 미안합니다.,
20,6,,Ce n'est pas grave.,[sə nɛ pa gʁav / 스느 네 빠 그라브],괜찮습니다.,
21,6,,Ça (ne) fait rien.,[sa fɛ ʁjɛ̃ / 싸 페 리앙],괜찮습니다.,
22,6,,Pas de problème.,[pa də pʁɔblɛm / 빠 드 프로블렘],아무 일 아닙니다.,
23,6,,Ne vous en faites pas trop.,[nə vu zɑ̃ fɛ pa tʁo / 느 부 장 페 빠 트로],너무 신경 쓰지 마세요.,
24,6,,Pouvez-vous répéter ?,[puve vu ʁepete / 푸베 부 레페테],다시 말씀해 주시겠어요?,
25,6,,Pas de souci !,[pa də susi / 빠 드 수씨],걱정 마세요!,
26,6,,"Toutes mes excuses, Madame.","[tut mez‿ɛkskyz madam / 투트 메즈 엑스뀌즈 마담]","사과드립니다, 부인.",
27,6,,Rien de spécial.,[ʁjɛ̃ də spesjal / 리앙 드 스페씨알],특별한 건 없어요.,
28,3,,Enchanté(e) !,[ɑ̃ʃɑ̃te / 앙샹테],처음 뵙겠습니다!,
29,6,,Ravie(e) de vous connaître.,[ʁavi də vu kɔnɛtʁ / 라비 드 부 코네트흐],만나서 반가워요.,
30,6,,Comment vous appelez-vous ?,[kɔmɑ̃ vu zaple vu / 코멍 부 자플레 부],이름이 어떻게 되세요?,
31,6,,Comment s'écrit votre nom ?,[kɔmɑ̃ sekʁi vɔtʁ nɔ̃ / 코멍 세크리 보트흐 농],이름을 어떻게 쓰나요?,
32,6,,Vous venez d'où ?,[vu vəne du / 부 브네 뒤],어디서 오셨어요?,
33,6,,Qu'est-ce que vous faites dans la vie ?,[kɛs kə vu fɛt dɑ̃ la vi / 케스크 부 페 땅 라 비],무슨 일 하세요?,
34,6,,"Je suis acteur/actrice, je travaille également à temps partiel dans un restaurant.","[ʒə sɥi aktœʁ/aktʁis, ʒə tʁavaj eɡalmɑ̃ a tɑ̃ paʁtjɛl dɑ̃z‿œ̃ ʁɛstoʁɑ̃ / 즈 쓔이 악터·악트리스, 즈 트라바이 에갈망 아 탕 파르티엘 땅즈 앙 헤스토랑]","저는 배우인데, 레스토랑에서 파트타임으로도 일하고 있어요.",
35,6,,Quel est votre numéro de téléphone ?,[kɛl ɛ vɔtʁ nymeʁo də telefɔn / 켈 에 보트흐 뉴메로 드 텔레폰],전화번호가 뭐예요?,
36,6,,Puis-je avoir votre adresse e-mail ?,[pɥiʒ avwaʁ vɔtʁ adʁɛs imɛl / 뷔이주 아브와흐 보트흐 아드레스 이메일],이메일 주소 받을 수 있을까요?,
37,6,,Avez-vous un compte Instagram ?,[ave vu œ̃ kɔ̃t ɛ̃stagʁam / 아베 부 앙 콩트 엉스타그램],인스타그램 계정 있어요?,
38,6,,Je suis ravi de vous connaître.,[ʒə sɥi ʁavi də vu kɔnɛtʁ / 즈 쓔이 라비 드 부 코네트흐],만나서 반가워요.,
39,6,,Où habitez-vous ?,[u abite vu / 우 아비테 부],어디에 사세요?,
40,6,,"Moi, je suis française.","[mwa, ʒə sɥi fʁɑ̃sɛz / 무아, 즈 쓔이 프랑세즈]",저는 프랑스 사람이에요.,
41,6,,Qu'est-ce que vous faites dans la vie ?,[kɛs kə vu fɛt dɑ̃ la vi / 케스크 부 페 땅 라 비],무슨 일 하세요?,
42,6,,"Moi, je suis acteur, je travaille également à temps partiel dans un restaurant.","[mwa, ʒə sɥi aktœʁ, ʒə tʁavaj eɡalmɑ̃ a tɑ̃ paʁtjɛl dɑ̃z‿œ̃ ʁɛstoʁɑ̃ / 무아, 즈 쓔이 악터, 즈 트라바이 에갈망 아 탕 파르티엘 땅즈 앙 헤스토랑]","저는 배우인데, 레스토랑에서 파트타임으로도 일하고 있어요.",
43,6,,Quel est votre numéro de téléphone ?,[kɛl ɛ vɔtʁ nymeʁo də telefɔn / 켈 에 보트흐 뉴메로 드 텔레폰],전화번호가 뭐예요?,
44,4,,Je voudrais enregistrer mes bagages.,[ʒə vudʁɛ ɑ̃ʁəʒistʁe me bagaʒ / 즈 부드레 앙헤지스트레 메 바가주],짐을 부치고 싶은데요.,
45,6,,Ma valise n'est pas arrivée !,[ma valiz nɛ pa aʁive / 마 발리즈 네 빠 아리베],제 가방이 안 왔어요!,
46,6,,J'ai une réservation pour deux nuits.,[ʒe yn ʁezɛʁvasjɔ̃ puʁ dø nɥi / 제 윈 헤제르바씨용 뿌흐 되 뉘],2박 예약했어요.,
47,6,,Y a-t-il encore des chambres pour ce soir ?,[ja til ɑ̃kɔʁ de ʃɑ̃bʁ puʁ sə swaʁ / 이아틸 앙코르 데 샹브르 뿌흐 스 스와흐],오늘 저녁에 묵을 방 남아 있나요?,
48,6,,C'est possible le départ tardif ?,[sɛ pɔsibl lə depaʁ taʁdif / 세 뽀시블 르 데파흐 타흐디프],체크아웃(시간) 늦출 수 있을까요?,
49,6,,Vous connaissez de bons restaurants par ici ?,[vu kɔnɛse də bɔ̃ ʁɛstoʁɑ̃ paʁ isi / 부 코네세 드 봉 헤스토랑 파흐 이씨],근처에 맛있는 레스토랑 아시는 데 있나요?,
50,6,,Vous pourriez garder mes bagages ?,[vu puʁje gaʁde me bagaʒ / 부 푸히에 가흐데 메 바가주],짐을 보관해 주실 수 있나요?,
51,6,,Puis-je avoir un taxi ?,[pɥiʒ avwaʁ œ̃ taksi / 뷔이주 아브와흐 앙 택시],택시 불러 주시겠어요?,
52,6,,La climatisation est en panne.,[la klimatizasjɔ̃ ɛt ɑ̃ pan / 라 클리마티자씨용 에 앙 빤],에어컨이 고장났어요.,
53,6,,J'ai oublié quelque chose dans la chambre.,[ʒe ublije kɛlkəʃoz dɑ̃ la ʃɑ̃bʁ / 제 우블리에 켈커쇼즈 땅 라 샹브르],방에 물건을 두고 왔어요.,
54,6,,Pourriez-vous ouvrir le coffre ?,[puʁje vu uvʁiʁ lə kɔfʁ / 푸히에 부 우브리흐 르 코프르],트렁크 열어 주시겠어요?,
55,6,,"Arrêtez-vous ici, s'il vous plaît.","[aʁɛte vu isi, sil vu plɛ / 아헤테 부 이씨, 씰부 플레]",여기 세워주세요.,
56,6,,Je voudrais enregistrer ma valise.,[ʒə vudʁɛ ɑ̃ʁəʒistʁe ma valiz / 즈 부드레 앙헤지스트레 마 발리즈],[공항에서] 가방을 부치고 싶은데요.,
