no,group,speaker,original,pron,trans,comment
0,5,V,"Bonjour monsieur, je peux vous aider?","[bɔ̃ʒuʁ məsjø, ʒə pø vu z‿ɛde / 봉주르 므씨외, 즈 푀 부 제데]","안녕하세요 손님, 도와드릴까요?",
1,5,C,"Oui, bonjour. Je voudrais un costume s'il vous plaît.","[wi, bɔ̃ʒuʁ. ʒə vudʁɛ œ̃ kɔstym sil vu plɛ / 위, 봉주르. 즈 부드레 앙 코스튐 실 부 플레]","네, 안녕하세요. 정장 한 벌 부탁합니다.",
2,5,V,"Bien sûr, vous faites quelle taille?","[bjɛ̃ syʁ, vu fɛt kɛl taj / 비앙 쉬르, 부 페트 켈 타이유]","물론이죠, 몇 사이즈 입으세요?",
3,5,C,Je fais du 40.,[ʒə fɛ dy kaʁɑ̃t / 즈 페 뒤 카헝트],저는 40 사이즈예요.,
4,5,V,"Et pour la couleur? Il y a bleu, noir ou gris.","[e puʁ la kulœʁ? il i a blø, nwaʁ u gʁi / 에 푸르 라 쿨뢰르? 일 이 아 블뢰, 누아르 우 그리]","색상은요? 파랑, 검정, 또는 회색이 있습니다.",
5,5,C,Un costume noir s'il vous plaît.,[œ̃ kɔstym nwaʁ sil vu plɛ / 앙 코스튐 누아르 실 부 플레],검은색 정장으로 주세요.,
6,5,V,Un instant... Et voilà!,[œ̃ n‿ɛ̃stɑ̃... e vwala / 엉 냉스탕... 에 브왈라],"잠시만요... 자, 여기 있습니다!",
7,5,V,Qu'est-ce que vous en pensez?,[kɛs kə vu z‿ɑ̃ pɑ̃se / 케스크 부 장 팡세],어떻게 생각하시나요?,
8,5,C,"Il est très beau, j'aime beaucoup. Il coûte combien?","[il ɛ tʁɛ bo, ʒɛm boku. il kut kɔ̃bjɛ̃ / 일 에 트레 보, 젬 보쿠. 일 쿠트 콩비앙]","아주 멋지네요, 정말 마음에 들어요. 얼마인가요?",
9,5,V,85 euros.,[katʁ vɛ̃ sɛ̃k øʁo / 카트르방생크 외로],85유로입니다.,
10,5,C,Ce n'est pas très cher. Vous avez aussi des chaussures?,[sə nɛ pa tʁɛ ʃɛʁ. vu z‿ave osi de ʃosyʁ / 스 네 파 트레 셰르. 부 자베 오시 데 쇼쉬르],그리 비싸지 않네요. 신발도 있나요?,
11,5,V,"Oui, vous faites quelle pointure?","[wi, vu fɛt kɛl pwɛ̃tyʁ / 위, 부 페트 켈 푸앵튀르]","네, 몇 사이즈 신으세요?",
12,5,C,Je fais du 44.,[ʒə fɛ dy kaʁɑ̃t katʁ / 즈 페 뒤 카헝트카트르],저는 44 사이즈예요.,
13,5,V,Nous avons ces belles chaussures noires. Elles vont bien avec le costume.,[nu z‿avɔ̃ se bɛl ʃosyʁ nwaʁ. ɛl vɔ̃ bjɛ̃ avɛk lə kɔstym / 누 자봉 세 벨 쇼쉬르 누아르. 엘 봉 비앙 아벡 르 코스튐],저희에게 이 예쁜 검은 구두가 있습니다. 정장과 잘 어울립니다.,
14,5,C,En effet. C'est combien?,[ɑ̃ n‿efɛ. sɛ kɔ̃bjɛ̃ / 앙 네페. 세 콩비앙],그러네요. 얼마인가요?,
15,5,V,35 euros.,[tʁɑ̃t sɛ̃k øʁo / 트헝트생크 외로],35유로입니다.,
16,5,C,"Alors, le costume et les chaussures... Ça fait combien?","[alɔʁ, lə kɔstym e le ʃosyʁ... sa fɛ kɔ̃bjɛ̃ / 알로르, 르 코스튐 에 레 쇼쉬르... 사 페 콩비앙]",그럼 정장과 신발 해서... 얼마인가요?,
17,5,V,"85 et 35... Ça fait 120 euros monsieur. Vous payez comment? Par carte, par chèque ou en espèces?","[katʁ vɛ̃ sɛ̃k e tʁɑ̃t sɛ̃k... sa fɛ sɑ̃ vɛ̃ øʁo məsjø. vu peje kɔmɑ̃? paʁ kaʁt, paʁ ʃɛk u ɑ̃ n‿ɛspɛs / 카트르방생크 에 트헝트생크... 사 페 상 방트 외로 므씨외. 부 페이에 코망? 파르 카르트, 파르 셰크 우 앙 네스페스]","85와 35... 해서 120유로입니다, 손님. 어떻게 결제하시겠어요? 카드, 수표, 아니면 현금으로요?",
18,5,C,Par carte. Tenez.,[paʁ kaʁt. təne / 파르 카르트. 트네],카드로요. 여기요.,
19,5,V,"Merci bien. Voici votre costume, vos chaussures, et le ticket!","[mɛʁsi bjɛ̃. vwasi vɔtʁ kɔstym, vo ʃosyʁ, e lə tikɛ / 메르시 비앙. 부아시 보트르 코스튐, 보 쇼쉬르, 에 르 티케]","감사합니다. 여기 고객님의 정장, 신발, 그리고 영수증입니다!",
20,5,C,"Merci beaucoup, au revoir.","[mɛʁsi boku, o ʁəvwaʁ / 메르시 보쿠, 오 흐부아르]","정말 감사합니다, 안녕히 계세요.",
21,5,V,"Au revoir monsieur, et à bientôt!","[o ʁəvwaʁ məsjø, e t‿a bjɛ̃to / 오 흐부아르 므씨외, 에 타 비앙토]","안녕히 가세요 손님, 또 뵙겠습니다!",
