1,9,word,voyelles,[vwajɛl / 브와이엘],모음,[jɛ]
2,9,word,consonnes,[kɔ̃sɔn / 콩손],자음,[ɔ̃]
3,9,word,père,[pɛʁ / 페흐],아버지,[ɛ]
4,9,word,terre,[tɛʁ / 테흐],땅,[ɛ]
5,9,word,caire,[kɛʁ / 케흐],케르(지명/이름),[ɛ]
6,9,word,sac,[sak / 삭],가방,[k]
7,9,word,crabe,[kʁab / 크하브],게,[k]
8,9,word,bague,[baɡ / 바그],반지,[g]
9,9,word,table,[tabl / 타블],테이블,[l]
10,9,word,sable,[sabl / 사블],모래,[l]
11,9,word,homme,[ɔm / 옴],남자,[h muet]
12,9,word,hôtel,[otɛl / 오텔],호텔,[h muet]
13,9,word,histoire,[istwaʁ / 이스투아흐],이야기/역사,[h muet]
14,9,expression,l'homme,[lɔm / 롬],그 남자,[liaison]
15,9,expression,les hommes,[lez ɔm / 레좀],남자들,[z liaison]
16,9,word,habitude,[abityd / 아비튀드],습관,[h muet]
17,9,expression,l'habitude,[labityd / 라비튀드],그 습관,[liaison]
18,9,expression,les habitudes,[lez abitid / 레자비튀드],습관들,[z liaison]
19,9,word,herbe,[ɛʁb / 에흐브],풀,[h muet]
20,9,expression,l'herbe,[lɛʁb / 레흐브],그 풀,[liaison]
21,9,expression,les herbes,[lez ɛʁb / 레제흐브],풀들,[z liaison]
22,9,word,haut,[o / 오],높은,[h aspiré]
23,9,word,héros,[eʁo / 에호],영웅,[h aspiré]
24,9,word,huit,[ɥit / 윗],8,[h aspiré]
25,9,expression,le héros,[lə eʁo / 르 에호],그 영웅,[h aspiré]
26,9,expression,les héros,[le eʁo / 레 에호],영웅들,[h aspiré]
27,9,word,haricot,[aʁiko / 아히코],강낭콩,[h aspiré]
28,9,expression,le haricot,[lə aʁiko / 르 아히코],그 강낭콩,[h aspiré]
29,9,expression,les haricots,[le aʁiko / 레 아히코],강낭콩들,[h aspiré]
30,9,word,handicap,[ɑ̃dikap / 앙디캅],장애,[h aspiré]
31,9,expression,le handicap,[lə ɑ̃dikap / 르 앙디캅],그 장애,[h aspiré]
32,9,expression,les handicaps,[le ɑ̃dikap / 레 앙디캅],장애들,[h aspiré]
33,9,word,pharmacie,[faʁmasi / 파흐마시],약국,[f]
34,9,word,chaussure,[ʃosyʁ / 쇼쉬흐],신발,[ʃ]
35,9,word,shampooing,[ʃɑ̃pwɛ̃ / 샹푸앙],샴푸,[ʃ]
36,9,word,thé,[te / 테],차,[t]
