1,10,word,beau,[bo / 보],아름다운,[o]
2,10,word,bol,[bɔl / 볼],그릇,[ɔ]
3,10,word,abbé,[abe / 아베],수도원장,[b]
4,10,word,veau,[vo / 보],송아지 고기,[o]
5,10,word,vol,[vɔl / 볼],비행/도둑질,[ɔ]
6,10,word,wagon,[vaɡɔ̃ / 바공],기차 객차,[v]
7,10,expression,neuf ans,[nœv ɑ̃ / 뇌방],9세,[v liaison]
8,10,word,bas,[ba / 바],낮은,[a]
9,10,word,beau,[bo / 보],아름다운,[o]
10,10,word,bon,[bɔ̃ / 봉],좋은,[ɔ̃]
11,10,word,belle,[bɛl / 벨],아름다운(여성형),[ɛ]
12,10,word,va,[va / 바],가다,[a]
13,10,word,veau,[vo / 보],송아지 고기,[o]
14,10,word,vie,[vi / 비],삶,[i]
15,10,word,vent,[vɑ̃ / 방],바람,[ɑ̃]
16,10,word,sabot,[sabo / 사보],나막신,[o]
17,10,word,début,[deby / 데뷔],시작,[y]
18,10,word,debout,[dəbu / 드부],서 있는,[u]
19,10,word,robot,[ʁɔbɔ / 호보],로봇,[ɔ]
20,10,word,laver,[lave / 라베],씻다,[v]
21,10,word,savon,[savɔ̃ / 사봉],비누,[v]
22,10,word,hiver,[ivɛʁ / 이베흐],겨울,[v]
23,10,word,mauvais,[movɛ / 모베],나쁜,[v]
24,10,word,club,[klœb / 클뢰브],클럽,[b]
25,10,word,snob,[snɔb / 스노브],속물,[b]
26,10,expression,neuf ans,[nœv ɑ̃ / 뇌방],9세,[v liaison]
27,10,expression,neuf heures,[nœv œʁ / 뇌브 외흐],9시,[v liaison]
28,10,word,peau,[po / 포],피부,[o]
29,10,word,paix,[pɛ / 페],평화,[ɛ]
30,10,word,appel,[apɛl / 아펠],전화/부름,[ɛ]
31,10,word,faux,[fo / 포],거짓의,[o]
32,10,word,fait,[fɛ / 페],사실,[ɛ]
33,10,word,difficile,[difisil / 디피실],어려운,[f]
34,10,word,photo,[foto / 포토],사진,[f]
35,10,word,prix,[pʁi / 프히],가격,[pʁ]
36,10,word,Pierre,[pjɛʁ / 피에흐],피에르,[pj]
37,10,word,pont,[pɔ̃ / 퐁],다리(bridge),[ɔ̃]
38,10,word,fou,[fu / 푸],미친,[u]
39,10,word,fait,[fɛ / 페],사실,[ɛ]
40,10,word,fleur,[flœʁ / 플뢰흐],꽃,[fl]
41,10,word,font,[fɔ̃ / 퐁],하다(3인칭 복수),[ɔ̃]
42,10,word,épaule,[epol / 에폴],어깨,[o]
43,10,word,tapis,[tapi / 타피],카펫,[i]
44,10,word,appeler,[apəle / 아플레],부르다,[l]
45,10,word,apprendre,[apʁɑ̃dʁ / 아프항드흐],배우다,[ɑ̃]
46,10,word,café,[kafe / 카페],커피,[f]
47,10,word,affaire,[afɛʁ / 아페흐],일/사건,[f]
48,10,word,enfant,[ɑ̃fɑ̃ / 앙팡],아이,[ɑ̃]
49,10,word,Sophie,[sɔfi / 소피],소피,[f]
50,10,word,sept,[sɛt / 셋],7,[t]
51,10,word,baptême,[batɛm / 바템],세례,[t]
52,10,word,vif,[vif / 비프],활기찬,[f]
53,10,word,bœuf,[bœf / 뵈프],소고기,[f]
54,10,word,veuf,[vœf / 뵈프],홀아비,[f]
55,10,word,neuf,[nœf / 뇌프],9,[f]
56,10,word,maman,[mamɑ̃ / 마망],엄마,[ɑ̃]
57,10,word,comme,[kɔm / 콤],처럼,[m]
58,10,word,mes,[me / 메],나의(복수),[e]
59,10,word,mais,[mɛ / 메],하지만,[ɛ]
60,10,word,mon,[mɔ̃ / 몽],나의,[ɔ̃]
61,10,word,main,[mɛ̃ / 맹],손,[ɛ̃]
62,10,word,jamais,[ʒamɛ / 자메],절대 ~않다,[ɛ]
63,10,word,allemand,[almɑ̃ / 알르망],독일의/독일인,[ɑ̃]
64,10,word,vraiment,[vʁɛmɑ̃ / 브헤망],정말로,[ɑ̃]
65,10,word,demain,[dəmɛ̃ / 드맹],내일,[ɛ̃]
