no,group,speaker,original,pron,trans,comment
1,1,,Il a six chats.,일 아 식 샤,그는 고양이 여섯 마리가 있어요.,
2,1,,Elle a six enfants.,엘 아 시 장팡,그녀는 여섯 아이가 있어요.,
3,1,,Il a huit chats.,일 아 위 샤,그는 고양이 여덟 마리가 있어요.,
4,1,,Elle a huit enfants.,엘 아 위 땅팡,그녀는 여덟 아이가 있어요.,
5,1,,Il a sept chats.,일 아 셋 샤,그는 고양이 일곱 마리가 있어요.,
6,1,,Elle a sept enfants.,엘 아 셋 앙팡,그녀는 일곱 아이가 있어요.,
7,1,,Il a neuf chats.,일 아 느프 샤,그는 고양이 아홉 마리가 있어요.,
8,1,,Elle a neuf enfants.,엘 아 느프 앙팡,그녀는 아홉 아이가 있어요.,
9,1,,Il a neuf ans.,일 아 느퐁,그는 아홉 살이에요.,
10,1,,Il est neuf heures.,일 에 느뵈흐,지금은 아홉 시예요.,
11,1,,D’accord.,다꼬흐,좋아요 / 알겠어요.,
12,2,,Tu danses avec moi ?,튀 당스 아벡 무아?,나랑 춤출래?,
13,2,,"D’accord, je danse avec toi.",다꼬흐 즈 당스 아벡 뜨와,"좋아, 너랑 춤출게.",
14,2,,Vous aimez la cuisine coréenne ?,부제메 라 퀴진 코헤엔?,한국 요리를 좋아하시나요?,
15,2,,Bien sûr !,비앙 쉬흐!,물론이죠!,
16,2,,Nous adorons la cuisine coréenne.,누 아도홍 라 퀴진 코헤엔,우리는 한국 요리를 아주 좋아해요.,
17,2,,C’est délicieux.,쎄 델리씨유,맛있어요.,
18,3,,Je parle.,즈 파흘,나는 말해요.,
19,3,,Tu parles.,튀 파흐레,너는 말해요.,
20,3,,Il parle.,일 파흘,그는 말해요.,
21,3,,Elle parle.,엘 파흘,그녀는 말해요.,
22,3,,Nous parlons.,누 파흐롱,우리는 말해요.,
23,3,,Vous parlez.,부 파흘레,당신은 말해요.,
24,3,,Ils parlent.,일 파흘런,그들은 말해요.,
25,3,,Elles parlent.,엘 파흘런,그녀들은 말해요.,
26,4,,J’étudie le coréen.,제튀디 르 코헤앙,나는 한국어를 공부해요.,
27,4,,Tu étudies le français.,튀 에튀디 르 프항세,너는 프랑스어를 공부해요.,
28,4,,Il étudie l’anglais.,일 에튀디 롱글레,그는 영어를 공부해요.,
29,4,,Nous étudions le chinois.,누 제튀디옹 르 시누아,우리는 중국어를 공부해요.,
30,4,,Vous étudiez le japonais.,부 제튀디에 르 자포네,당신은 일본어를 공부해요.,
31,4,,J’étudie la langue française.,제튀디 라 랑그 프랑세즈,나는 프랑스어를 공부해요.,
32,4,,Tu étudies la langue coréenne.,튀 에튀디 라 랑그 코레엔,너는 한국어를 공부해요.,
33,4,,Elle étudie la langue chinoise.,엘 에튀디 라 랑그 시누아즈,그녀는 중국어를 공부해요.,
34,4,,Nous étudions l’anglais.,누 제튀디옹 롱글레,우리는 영어를 공부해요.,
35,4,,Vous étudiez la langue japonaise.,부 제튀디에 라 랑그 자포네즈,당신은 일본어를 공부해요.,
36,4,,Ils étudient la langue chinoise.,일 제튀디앙 라 랑그 시누아즈,그들은 중국어를 공부해요.,
37,5,,J’habite à Paris.,자빗 아 파리,나는 파리에 살아요.,
38,5,,Tu habites à Séoul.,튀 아빗 아 세울,너는 서울에 살아.,
39,5,,Il habite à New York.,일 아빗 아 뉴욕,그는 뉴욕에 살아요.,
40,5,,Nous habitons à Pékin.,누 자비통 아 페캉,우리는 베이징에 살아요.,
41,5,,Vous habitez à Tokyo.,부 자비테 아 도쿄,당신은 도쿄에 살아요.,
42,5,,Elles habitent à New York.,엘 자빗 아 뉴욕,그녀들은 뉴욕에 살아요.,
43,6,,J’aime le café.,젬 르 까페,나는 커피를 좋아해요.,
44,6,,J’aime beaucoup le café.,젬 보쿠 르 까페,나는 커피를 아주 좋아해요.,
45,6,,J’adore le café.,자도흐 르 까페,나는 커피를 정말 좋아해요.,
46,6,,Je n’aime pas beaucoup la musique.,즈 넴 파 보쿠 라 뮈지크,나는 음악을 그다지 좋아하지 않아요.,
47,6,,Je n’aime pas le jazz.,즈 넴 파 르 쟈즈,나는 재즈를 좋아하지 않아요.,
48,6,,Je déteste la musique classique.,즈 데테스트 라 뮈지크 클래식,나는 클래식 음악을 싫어해요.,
49,6,,Ils aiment voyager.,일 젬 부아야제,그들은 여행하는 것을 좋아해요.,
50,6,,Elles n’aiment pas la télé.,엘 넴 파 라 텔레,그녀들은 TV를 좋아하지 않아요.,
51,6,,Elles n’aiment pas regarder la télé.,엘 넴 파 흐가흐데 라 텔레,그녀들은 TV 보는 것을 좋아하지 않아요.,
52,6,,Je n’aime pas le vin.,즈 넴 파 르 뱅,나는 와인을 좋아하지 않아요.,
53,6,,Je préfère la bière.,즈 프헤페흐 라 비에흐,나는 맥주를 더 좋아해요.,
54,6,,Il aime surfer sur Internet.,일 엠 쓔흐페 쉬흐 앙테흐넷,그는 인터넷 서핑을 좋아해요.,
55,6,,Elle préfère voyager.,엘 프헤페흐 부아야제,그녀는 여행하는 것을 더 좋아해요.,
56,7,,Vous aimez la cuisine coréenne ?,부제메 라 퀴진 코헤엔?,한국 요리를 좋아하시나요?,
57,7,,"Bien sûr, j’adore la cuisine coréenne.",비앙 쉬흐 자도흐 라 퀴진 코헤엔,"물론이죠, 저는 한국 요리를 아주 좋아해요.",
58,7,,C’est délicieux.,쎄 델리씨유,맛있어요.,
59,7,,Aimez-vous Brahms ?,엠에 부 브함스?,브람스를 좋아하시나요?,
60,7,,"Non, je déteste la musique classique.",농 즈 데테스트 라 뮈지크 클래식,"아니요, 저는 클래식 음악을 싫어해요.",
61,7,,Mais j’aime beaucoup le rock.,메 젬 보쿠 르 혹,하지만 저는 록 음악을 아주 좋아해요.,
62,7,,"Moi, je n’aime pas le vin.",므와 즈 넴 파 르 뱅,저는 와인을 좋아하지 않아요.,
63,7,,Je préfère la bière.,즈 프헤페흐 라 비에흐,저는 맥주를 더 좋아해요.,
64,7,,"Lui, il aime surfer sur Internet à la maison.",루이 일 엠 써흐피 쉬항테흐넷 아 라 메종,그는 집에서 인터넷 서핑하는 걸 좋아해요.,
