no,group,speaker,original,pron,trans,comment
0,7,Client,"Bonjour, je cherche un logement.","[bɔ̃ʒuʁ, ʒə ʃɛʁʃ œ̃ lɔʒmɑ̃ / 봉주르, 즈 셰르슈 앙 로즈망]","안녕하세요, 집을 찾고 있습니다.",
1,7,Agente immobilière,Dans quel quartier?,[dɑ̃ kɛl kaʁtje / 당 켈 카르티에],어느 지역에서 찾으시나요?,
2,7,Client,Dans le 15e arrondissement.,[dɑ̃ lə kɛ̃zjɛm aʁɔ̃dismɑ̃ / 당 르 캥지엠 아롱디스망],15구에서요.,
3,7,Agente immobilière,"Un studio, un 2 pièces?","[œ̃ stydjo, œ̃ dø pjɛs / 엉 스튜디오, 엉 되 피에스]","원룸인가요, 투룸인가요?",
4,7,Client,"Un 3 pièces, s'il vous plaît.","[œ̃ tʁwa pjɛs, sil vu plɛ / 엉 트루아 피에스, 실 부 플레]",쓰리룸 부탁합니다.,
5,7,Agente immobilière,Avec deux chambres et un salon?,[avɛk dø ʃɑ̃bʁ e œ̃ salɔ̃ / 아벡 되 샹브르 에 엉 살롱],방 두 개와 거실인가요?,
6,7,Client,"Oui, il y a aussi une salle de bains et une cuisine?","[wi, il i a osi yn sal də bɛ̃ e yn kɥizin / 위, 일 이 아 오시 윈 살 드 뱅 에 윈 퀴진]","네, 욕실과 부엌도 있나요?",
7,7,Agente immobilière,"Bien sûr monsieur. Il y a des toilettes. Il y a également un balcon. L'appartement est au 5e étage, orienté sud, avec ascenseur.","[bjɛ̃ syʁ məsjø. il i a de twalɛt. il i a egalmɑ̃ œ̃ balkɔ̃. lapaʁtəmɑ̃ ɛ o sɛ̃kjɛm etaʒ, ɔʁjɑ̃te syd, avɛk asɑ̃sœʁ / 비앙 쉬르 므씨외. 일 이 아 데 뚜알렛. 일 이 아 에갈망 엉 발콩. 라파트망 에 오 생키엠 에타주, 오리앙테 쉬드, 아벡 아상쇠르]","물론입니다. 화장실이 있고, 발코니도 있습니다. 아파트는 5층에 있고 남향이며 엘리베이터도 있습니다.",
8,7,Client,Super! Et le quartier? Comment est-il?,[sypɛʁ! e lə kaʁtje? kɔmɑ̃ ɛ til / 쉬페르! 에 르 카르티에? 코망 에틸],좋네요! 그리고 동네는 어떤가요?,
9,7,Agente immobilière,"Le quartier est assez calme: il y a des cafés et des restaurants, un cinéma, une piscine, un arrêt de bus et une station de métro.","[lə kaʁtje ɛ ase kalm: il i a de kafe e de ʁɛstɔʁɑ̃, œ̃ sinema, yn pisin, œ̃ n‿aʁɛ də bys e yn stasjɔ̃ də metʁo / 르 카르티에 에 아세 칼므: 일 이 아 데 카페 에 데 레스토랑, 엉 시네마, 윈 피신, 엉 아레 드 뷔스 에 윈 스타시옹 드 메트로]","그 동네는 꽤 조용합니다. 카페와 레스토랑, 영화관, 수영장, 버스 정류장, 지하철역이 있습니다.",
10,7,Client,Parfait! Combien coûte le loyer?,[paʁfɛ! kɔ̃bjɛ̃ kut lə lwaje / 파르페! 콩비앙 쿠트 르 루아예],완벽하네요! 월세는 얼마인가요?,
11,7,Agente immobilière,C'est 1500 euros par mois.,[sɛ mil sɛ̃ sɑ̃ øʁo paʁ mwa / 세 1500 외로 파르 무아],한 달에 1500유로입니다.,
12,7,Client,Oh là là... C'est un peu cher pour moi. Je dois réfléchir. Je vous recontacte bientôt.,[o la la... sɛ t‿œ̃ pø ʃɛʁ puʁ mwa. ʒə dwa ʁefleʃiʁ. ʒə vu ʁəkɔ̃takt bjɛ̃to / 오 라 라... 세 텅 프 슈에르 푸르 무아. 즈 두아 레플레쉬르. 즈 부 흐콩탁트 비앙토],아이고... 저에게는 좀 비싸네요. 생각해봐야겠어요. 곧 다시 연락드리겠습니다.,
13,7,Agente immobilière,"Pas de problème, mais faites vite. Ce genre d'appartement a beaucoup de succès.","[pa də pʁɔblɛm, mɛ fɛt vit. sə ʒɑ̃ʁ dapaʁtəmɑ̃ a boku də syksɛ / 파 드 프로블렘, 메 페트 비트. 스 장르 다파트망 아 보쿠 드 석세]","문제 없습니다만, 서두르세요. 이런 종류의 아파트는 인기가 많습니다.",
